n,deslocamento,x,y
481,2800,28,0
482,2804,28,4
483,2808,28,8
484,2812,28,12
485,2816,28,16
486,2820,28,20
487,2824,28,24
488,2828,28,28
489,2832,28,32
490,2836,28,36
491,2840,28,40
492,2844,28,44
493,2848,28,48
494,2852,28,52
495,2856,28,56
496,2860,28,60
497,2864,28,64
498,2868,28,68
499,2872,28,72
500,2876,28,76
501,2880,28,80
502,2884,28,84
503,2888,28,88
504,2892,28,92
505,2896,28,96
506,2900,29,0
507,2904,29,4
508,2908,29,8
509,2912,29,12
510,2916,29,16
511,2920,29,20
512,2924,29,24
513,1646,16,46
514,1650,16,50
515,1654,16,54
516,1658,16,58
517,1662,16,62
518,1666,16,66
519,1670,16,70
520,1674,16,74
521,1678,16,78
522,1682,16,82
523,1686,16,86
524,1690,16,90
525,1694,16,94
526,1698,16,98
527,1702,17,2
528,1706,17,6
529,1710,17,10
530,1714,17,14
531,1718,17,18
532,1722,17,22
533,1726,17,26
534,1730,17,30
535,1734,17,34
536,1738,17,38
537,1742,17,42
538,1746,17,46
539,1750,17,50
540,1754,17,54
541,1758,17,58
542,1762,17,62
543,1766,17,66
544,1770,17,70
545,1774,17,74
546,1778,17,78
547,1782,17,82
548,1786,17,86
549,1790,17,90
550,1794,17,94
551,1798,17,98
552,1802,18,2
553,1806,18,6
554,1810,18,10
555,1814,18,14
556,1818,18,18
557,1822,18,22
558,1826,18,26
559,1830,18,30
560,1834,18,34
561,1838,18,38
562,1842,18,42
563,1846,18,46
564,1850,18,50
565,1854,18,54
566,1858,18,58
567,1862,18,62
568,1866,18,66
569,1870,18,70
570,1874,18,74
571,1878,18,78
572,1882,18,82
573,1886,18,86
574,1890,18,90
575,1894,18,94
576,1898,18,98
577,1902,19,2
578,1906,19,6
579,1910,19,10
580,1914,19,14
581,1918,19,18
582,1922,19,22
583,1926,19,26
584,1930,19,30
585,1934,19,34
586,1938,19,38
587,1942,19,42
588,1946,19,46
589,1950,19,50
590,1954,19,54
591,1958,19,58
592,1962,19,62
593,1966,19,66
594,1970,19,70
595,1974,19,74
596,1978,19,78
597,1982,19,82
598,1986,19,86
599,1990,19,90
600,1994,19,94
601,1998,19,98
602,2002,20,2
603,2006,20,6
604,2010,20,10
605,2014,20,14
606,2018,20,18
607,2022,20,22
608,2026,20,26
609,2030,20,30
610,2034,20,34
611,2038,20,38
612,2042,20,42
613,2046,20,46
614,2050,20,50
615,2054,20,54
616,2058,20,58
617,2062,20,62
618,2066,20,66
619,2070,20,70
620,2074,20,74
621,2078,20,78
622,2082,20,82
623,2086,20,86
624,2090,20,90
625,2094,20,94
626,2098,20,98
627,2102,21,2
628,2106,21,6
629,2110,21,10
630,2114,21,14
631,2118,21,18
632,2122,21,22
633,2126,21,26
634,2130,21,30
635,2134,21,34
636,2138,21,38
637,2142,21,42
638,2146,21,46
639,2150,21,50
640,2154,21,54
641,3954,39,54
642,3958,39,58
643,3962,39,62
644,3966,39,66
645,3970,39,70
646,3974,39,74
647,3978,39,78
648,3982,39,82
649,3986,39,86
650,3990,39,90
651,3994,39,94
652,3998,39,98
653,4002,40,2
654,4006,40,6
655,4010,40,10
656,4014,40,14
657,4018,40,18
658,4022,40,22
659,4026,40,26
660,4030,40,30
661,4034,40,34
662,4038,40,38
663,4042,40,42
664,4046,40,46
665,4050,40,50
666,4054,40,54
667,4058,40,58
668,4062,40,62
669,4066,40,66
670,4070,40,70
671,4074,40,74
672,4078,40,78
673,4082,40,82
674,4086,40,86
675,4090,40,90
676,4094,40,94
677,4098,40,98
678,4102,41,2
679,4106,41,6
680,4110,41,10
681,4114,41,14
682,4118,41,18
683,4122,41,22
684,4126,41,26
685,4130,41,30
686,4134,41,34
687,4138,41,38
688,4142,41,42
689,4146,41,46
690,4150,41,50
691,4154,41,54
692,4158,41,58
693,4162,41,62
694,4166,41,66
695,4170,41,70
696,4174,41,74
697,4178,41,78
698,4182,41,82
699,4186,41,86
700,4190,41,90
701,4194,41,94
702,4198,41,98
703,4202,42,2
704,4206,42,6
705,4210,42,10
706,4214,42,14
707,4218,42,18
708,4222,42,22
709,4226,42,26
710,4230,42,30
711,4234,42,34
712,4238,42,38
713,4242,42,42
714,4246,42,46
715,4250,42,50
716,4254,42,54
717,4258,42,58
718,4262,42,62
719,4266,42,66
720,4270,42,70
721,4274,42,74
722,4278,42,78
723,4282,42,82
724,4286,42,86
725,4290,42,90
726,4294,42,94
727,4298,42,98
728,4302,43,2
729,4306,43,6
730,4310,43,10
